,0,1,2
dataset_name,1D_KS,1D_KS,1D_KS
downscaling_factor,1,1,1
yarin_gal_uci_split_indices,0,0,0
max_dataset_size,1000,1000,1000
standardize,True,True,True
select_timesteps,random,random,random
temporal_downscaling_factor,2,2,2
validation_ratio,0.0,0.0,0.0
model,UNet,UNet,UNet
uncertainty_quantification,diffusion,diffusion,diffusion
report_every,25,25,25
seed,1,2,3
distributed_training,False,False,False
backbone,default,default,default
batch_size,128,128,128
batch_accumulation,1,1,1
eval_batch_size,1024,1024,1024
n_epochs,5000,5000,5000
early_stopping,150,150,150
init,default,default,default
learning_rate,0.0005,0.0005,0.0005
warmup_lr,0,0,0
lr_schedule,step,step,step
optimizer,adam,adam,adam
gradient_clipping,1,1,1
alpha,0.05,0.05,0.05
n_samples_uq,100,100,100
weight_decay,0.0,0.0,0.0
n_val_samples,10,10,10
dropout,0.1,0.1,0.1
hidden_dim,64,64,64
n_layers,2,2,2
n_timesteps,50,50,50
beta_endpoints,"[0.001, 0.2]","[0.001, 0.2]","(0.001, 0.2)"
distributional_method,normal,normal,normal
loss,crps,crps,crps
closed_form,False,False,False
concat_condition_diffusion,True,True,True
evaluate,True,True,True
val_only,False,False,False
x_T_sampling_method,standard,standard,standard
conditional_free_guidance_training,False,False,False
ddim_churn,1.0,1.0,1.0
noise_schedule,linear,linear,linear
regressor,,,
n_components,10,10,10
gamma,5.0,5.0,5.0
rank,10,10,10
mvnormal_method,lora,lora,lora
n_train_samples,10,10,10
metrics_plots,False,False,False
t_training,15993.515,21953.267,22019.385
NumberParameters,6455491.0,6455491.0,6455491.0
t_training_avg,7.6128662,7.5893964,7.6260903
t_training_med,7.6458173,7.6298571,7.669383
t_training_std,0.2463608,0.1723956,0.1689109
MSEValidation,1.5e-05,2.15e-05,1.01e-05
RMSEValidation,0.0038705,0.0046357,0.0031756
EnergyScoreValidation,0.0541854,0.0616593,0.0427316
CRPSValidation,0.0021992,0.0024741,0.0017326
Gaussian NLLValidation,-3.9780269,-3.8834343,-4.2317457
CoverageValidation,0.9996138,0.9995877,0.9998264
QICEValidation,0.095191,0.0902378,0.0905885
MSETest,1.54e-05,2.37e-05,1.08e-05
RMSETest,0.0039271,0.0048703,0.0032872
EnergyScoreTest,0.0547978,0.0617387,0.0428639
CRPSTest,0.0022156,0.0024678,0.0017295
Gaussian NLLTest,-3.9726222,-3.8868468,-4.2336707
CoverageTest,0.9996602,0.9997461,0.9997149
QICETest,0.0947625,0.0906977,0.0906117
